Iteration,Train Loss,Train Acc,Train Recall,Train F1,Val Loss,Val Acc,Val Recall,Val F1,Time,Improved
0,2.2995259761810303,0.1171875,0.12872421695951108,0.08984848484848484,2.6904699892937383,0.1483,0.14830000000000002,0.061522911904349074,0:00:01,*
100,0.7285429835319519,0.7265625,0.7133916083916084,0.717827737782476,0.6984023255637929,0.7851,0.7851,0.7843255433535873,0:00:02,*
200,0.6885153651237488,0.7578125,0.7696095571095571,0.7633282685311082,0.5476680756369724,0.8345,0.8345,0.8352293102317068,0:00:03,*
300,0.4340037405490875,0.84375,0.8437409082145925,0.8410194581247212,0.4876246048679835,0.851,0.851,0.8502929860144228,0:00:03,*
400,0.7410980463027954,0.7734375,0.7986205950911833,0.7843310891298387,0.4712603280815897,0.8529,0.8529,0.852768618918064,0:00:04,*
500,0.3547120988368988,0.890625,0.8707264957264957,0.8679144321226702,0.4350375861306734,0.8643,0.8643000000000001,0.864568394583441,0:00:04,*
600,0.5124379992485046,0.828125,0.8282846320346321,0.8194215802580042,0.4242263817334477,0.8674,0.8674000000000002,0.8673731941483828,0:00:05,*
700,0.46797454357147217,0.828125,0.8419017094017095,0.8309365170433282,0.4040860778923276,0.8734,0.8734,0.872964216368929,0:00:06,*
800,0.41404712200164795,0.875,0.8541158433070197,0.8582436195139682,0.39638047127784054,0.8779,0.8779,0.8776668310496678,0:00:06,*
900,0.4858178198337555,0.84375,0.8536038011695906,0.8350789574231555,0.3837569080576112,0.8803,0.8803000000000001,0.8800163929417796,0:00:07,*
1000,0.3133803904056549,0.8984375,0.899144385026738,0.897001920958634,0.3832899860188931,0.8806,0.8806,0.8807913187507903,0:00:07,*
1100,0.38328319787979126,0.8984375,0.911045751633987,0.9073311717581495,0.37447535218317296,0.8849,0.8849,0.8847145300420814,0:00:08,*
1200,0.34708574414253235,0.890625,0.9004329004329005,0.8876552008039422,0.3670193034259579,0.8908,0.8907999999999999,0.8907142133864385,0:00:09,*
1300,0.44094929099082947,0.828125,0.8186276223776223,0.808944205720864,0.3643549297806583,0.8899,0.8899000000000001,0.8899110561698615,0:00:09,*
1400,0.4933178722858429,0.8359375,0.8482280954339778,0.8374349873543421,0.3551214276989804,0.8885,0.8885,0.8887518530882961,0:00:10,*
1500,0.3987686038017273,0.859375,0.8626895653366242,0.8627973900779689,0.35417606672154195,0.89,0.89,0.8899012957829802,0:00:10,*
1600,0.3019581735134125,0.921875,0.9398777246145669,0.9274916533387298,0.3505957494430904,0.89,0.89,0.8903936522498647,0:00:11,*
1700,0.41978347301483154,0.8984375,0.8896299125710889,0.8937801534329368,0.3474490250213237,0.8938,0.8938,0.8937185723489162,0:00:12,*
1800,0.3390655815601349,0.90625,0.9205677655677655,0.9113853716416646,0.3580818804381769,0.8894,0.8894,0.8901880237879951,0:00:12,
1900,0.3622191846370697,0.890625,0.8850710400710401,0.8847967449832094,0.342988770785211,0.8918,0.8918000000000001,0.8920159995702062,0:00:13,*
2000,0.3353578746318817,0.8515625,0.8538928228634111,0.8466348655332236,0.3428469941585879,0.894,0.8939999999999999,0.8938465605932748,0:00:13,*
2100,0.4034923315048218,0.859375,0.8607034632034631,0.8525712224475409,0.34442010446439814,0.8943,0.8943000000000001,0.8944800145133188,0:00:14,
2200,0.30133581161499023,0.890625,0.89,0.8935690219406427,0.3340752445444276,0.895,0.8949999999999999,0.8947795922985119,0:00:15,*
2300,0.3163834810256958,0.9296875,0.9278163503163503,0.9246020646020646,0.3332520176338244,0.8973,0.8973000000000001,0.8974626608947165,0:00:15,*
2400,0.2536059319972992,0.921875,0.938538420643684,0.9235835291403311,0.335757079380977,0.8969,0.8968999999999999,0.8965975465425196,0:00:16,
2500,0.18641099333763123,0.9375,0.9415837104072399,0.9318316110227876,0.3291449716574029,0.8977,0.8977,0.8974321910850123,0:00:17,*
2600,0.42026209831237793,0.859375,0.8572642390289449,0.8527293362486061,0.3272206196679345,0.9004,0.9004000000000001,0.9005918231166273,0:00:17,*
2700,0.23773927986621857,0.9140625,0.9133082706766917,0.9049605842078027,0.3303479971010474,0.8967,0.8967,0.8967279545355253,0:00:18,
2800,0.3680066764354706,0.875,0.8870887201034261,0.877095844191371,0.33123155919056907,0.8984,0.8984,0.8987013981217096,0:00:18,
2900,0.3284652829170227,0.890625,0.8836435786435788,0.8850625897540597,0.32775762469708164,0.899,0.899,0.8992467422260384,0:00:19,
